CyberCBP Security Report
Generated At,2026-04-18T23:36:13.400178
Total Threats,154
Total Vulnerabilities,137

=== THREATS ===
ID,Timestamp,Severity,Rule ID,Source,Description
60,2026-04-18 20:42:32,socket,22,ssh,Medium,SSH — ensure key-based auth & no root login
59,2026-04-18 20:37:32,socket,3306,mysql,Medium,MySQL — database port should not be public
58,2026-04-18 20:37:32,socket,22,ssh,Medium,SSH — ensure key-based auth & no root login
57,2026-04-18 20:32:32,socket,3306,mysql,Medium,MySQL — database port should not be public
56,2026-04-18 20:32:32,socket,22,ssh,Medium,SSH — ensure key-based auth & no root login
55,2026-04-18 20:27:32,socket,3306,mysql,Medium,MySQL — database port should not be public
54,2026-04-18 20:27:32,socket,22,ssh,Medium,SSH — ensure key-based auth & no root login
53,2026-04-18 20:22:31,socket,3306,mysql,Medium,MySQL — database port should not be public
52,2026-04-18 20:22:31,socket,22,ssh,Medium,SSH — ensure key-based auth & no root login
51,2026-04-18 20:17:31,socket,3306,mysql,Medium,MySQL — database port should not be public
50,2026-04-18 20:17:31,socket,22,ssh,Medium,SSH — ensure key-based auth & no root login
49,2026-04-18 20:12:31,socket,3306,mysql,Medium,MySQL — database port should not be public
48,2026-04-18 20:12:31,socket,22,ssh,Medium,SSH — ensure key-based auth & no root login
47,2026-04-18 20:07:31,socket,3306,mysql,Medium,MySQL — database port should not be public
46,2026-04-18 20:07:31,socket,22,ssh,Medium,SSH — ensure key-based auth & no root login
45,2026-04-18 20:02:31,socket,3306,mysql,Medium,MySQL — database port should not be public
44,2026-04-18 20:02:31,socket,22,ssh,Medium,SSH — ensure key-based auth & no root login
43,2026-04-18 19:57:31,socket,3306,mysql,Medium,MySQL — database port should not be public
42,2026-04-18 19:57:31,socket,22,ssh,Medium,SSH — ensure key-based auth & no root login
41,2026-04-18 19:52:31,socket,3306,mysql,Medium,MySQL — database port should not be public
40,2026-04-18 19:52:31,socket,22,ssh,Medium,SSH — ensure key-based auth & no root login
